Symbol,Approved.Symbol,chromosome
TAGL-BETA,PGLYRP2,19
PGLYRP2,PGLYRP2,19
TAGL,PGLYRP2,19
TAGL-ALPHA,PGLYRP2,19
TAGL-LIKE,PGLYRP2,19
PGLYRPIALPHA,PGLYRP3,1
PGRP-IALPHA,PGLYRP3,1
PGRPIA,PGLYRP3,1
PGLYRP3,PGLYRP3,1
PGLYRPIBETA,PGLYRP4,1
SBBI67,PGLYRP4,1
PGLYRP4,PGLYRP4,1
PGRP-IBETA,PGLYRP4,1
PGRPIB,PGLYRP4,1
PGM1,PGM1,1
PGM2,PGM2,4
FLJ10983,PGM2,4
FLJ32029,PGM2L1,11
PGM2L1,PGM2L1,11
BM32A,PGM2L1,11
PGM3,PGM3,6
DKFZP434B187,PGM3,6
PAGM,PGM3,6
AGM1,PGM3,6
PGM5,PGM5,9
PGMRP,PGM5,9
FAM233A,PGM5-AS1,9
PGM5-AS1,PGM5-AS1,9
LOC572558,PGM5-AS1,9
PGM5P1,PGM5P1,9
PGM5P2,PGM5P2,9
AK096159,PGM5P2,9
PGM5P3,PGM5P3,9
PGM5P3-AS1,PGM5P3-AS1,9
FAM233B,PGM5P3-AS1,9
PGM5P4,PGM5P4,2
FAM233C,PGM5P4-AS1,2
PGM5P4-AS1,PGM5P4-AS1,2
PGP,PGP,16
PCP,PGPEP1,19
PGPEP1,PGPEP1,19
PGP,PGPEP1,19
PGPI,PGPEP1,19
PGP-I,PGPEP1,19
PGPEP1L,PGPEP1L,15
NR3C3,PGR,11
PGR,PGR,11
PR,PGR,11
AT1,PGR-AS1,11
AT2,PGR-AS1,11
PGR-AS1,PGR-AS1,11
AT3,PGR-AS1,11
PGRMC1,PGRMC1,X
HPR6.6,PGRMC1,X
PMBP,PGRMC2,4
PGRMC2,PGRMC2,4
DG6,PGRMC2,4
PGS1,PGS1,17
DKFZP762M186,PGS1,17
KIAA1733,PHACTR1,6
DJ257A7.2,PHACTR1,6
RPEL1,PHACTR1,6
PHACTR1,PHACTR1,6
KIAA0680,PHACTR2,6
C6orf56,PHACTR2,6
PHACTR2,PHACTR2,6
NR027113,PHACTR2-AS1,6
LNCIHS,PHACTR2-AS1,6
PHACTR2-AS1,PHACTR2-AS1,6
PHACTR2P1,PHACTR2P1,10
C20orf101,PHACTR3,20
PPP1R123,PHACTR3,20
PHACTR3,PHACTR3,20
PHACTR3-AS1,PHACTR3-AS1,20
FLJ13171,PHACTR4,1
PHACTR4,PHACTR4,1
PPP1R124,PHACTR4,1
FLJ12076,PHAF1,16
LIN-10,PHAF1,16
C16orf70,PHAF1,16
C16orf6,PHAF1,16
PHAF1,PHAF1,16
LIN10,PHAF1,16
MYTHO,PHAF1,16
PHAX,PHAX,5
FLJ13193,PHAX,5
RNUXA,PHAX,5
PHB,PHB1,17
PHB1,PHB1,17
BAP32,PHB1,17
PHBP1,PHB1P1,6
PHB1P1,PHB1P1,6
PHBP10,PHB1P10,X
PHB1P10,PHB1P10,X
PHB1P11,PHB1P11,1
PHBP11,PHB1P11,1
PHBP12,PHB1P12,1
PHB1P12,PHB1P12,1
PHB1P13,PHB1P13,13
PHBP13,PHB1P13,13
PHBP14,PHB1P14,4
PHB1P14,PHB1P14,4
PHB1P15,PHB1P15,7
PHBP15,PHB1P15,7
PHBP16,PHB1P16,11
PHB1P16,PHB1P16,11
PHBP17,PHB1P17,11
PHB1P17,PHB1P17,11
PHBP18,PHB1P18,12
PHB1P18,PHB1P18,12
PHB1P19,PHB1P19,12
PHBP19,PHB1P19,12
PHB1P2,PHB1P2,11
PHBP2,PHB1P2,11
PHB1P20,PHB1P20,15
PHBP20,PHB1P20,15
PHB1P21,PHB1P21,16
PHBP21,PHB1P21,16
PHBP3,PHB1P3,1
PHB1P3,PHB1P3,1
PHBP4,PHB1P4,2
PHB1P4,PHB1P4,2
PHBP5,PHB1P5,7
PHB1P5,PHB1P5,7
PHB1P6,PHB1P6,7
PHBP6,PHB1P6,7
PHBP7,PHB1P7,9
PHB1P7,PHB1P7,9
PHBP8,PHB1P8,3
PHB1P8,PHB1P8,3
PHB1P9,PHB1P9,10
PHBP9,PHB1P9,10
P22,PHB2,12
BAP37,PHB2,12
PHB2,PHB2,12
BCAP37,PHB2,12
REA,PHB2,12
PHB2P1,PHB2P1,10
HPH1,PHC1,12
EDR1,PHC1,12
RAE28,PHC1,12
PHC1,PHC1,12
PHC1P1,PHC1P1,12
PHC1B,PHC1P1,12
PHC2,PHC2,1
HPH2,PHC2,1
EDR2,PHC2,1
PHC2-AS1,PHC2-AS1,1
FLJ12729,PHC3,3
PHC3,PHC3,3
FLJ12967,PHC3,3
HPH3,PHC3,3
EDR3,PHC3,3
FLJ32356,PHETA1,12
IPIP27A,PHETA1,12
FAM109A,PHETA1,12
SES1,PHETA1,12
PHETA1,PHETA1,12
DKFZP686J07229,PHETA2,22
SES2,PHETA2,22
PHETA2,PHETA2,22
IPIP27B,PHETA2,22
FAM109B,PHETA2,22
HPDR1,PHEX,X
XLH,PHEX,X
HPDR,PHEX,X
PEX,PHEX,X
HYP,PHEX,X
PHEX,PHEX,X
HYP1,PHEX,X
TDRD19C,PHF1,6
PCL1,PHF1,6
MTF2L2,PHF1,6
PHF1,PHF1,6
BAF45A,PHF10,6
SMARCG4,PHF10,6
XAP135,PHF10,6
FLJ10975,PHF10,6
PHF10,PHF10,6
XAP135P,PHF10P1,X
PHF10P1,PHF10P1,X
PHF10P2,PHF10P2,22
NY-REN-34,PHF11,13
BCAP,PHF11,13
PHF11,PHF11,13
IGER,PHF11,13
KIAA1523,PHF12,17
PHF12,PHF12,17
PF1,PHF12,17
MGC43399,PHF13,1
PHF13,PHF13,1
PHF14,PHF14,7
KIAA0783,PHF14,7
MTF2L1,PHF19,9
TDRD19B,PHF19,9
PHF19,PHF19,9
DKFZP727G051,PHF19,9
PCL3,PHF19,9
KIAA0662,PHF2,9
JHDM1E,PHF2,9
PHF2,PHF2,9
CENP-35,PHF2,9
KDM7C,PHF2,9
C20orf104,PHF20,20
PHF20,PHF20,20
DJ1121G12.1,PHF20,20
TDRD20A,PHF20,20
FLJ21615,PHF20L1,8
MGC64923,PHF20L1,8
TDRD20B,PHF20L1,8
FLJ13649,PHF20L1,8
CGI-72,PHF20L1,8
PHF20L1,PHF20L1,8
BM-006,PHF21A,11
PHF21A,PHF21A,11
KIAA1696,PHF21A,11
BHC80,PHF21A,11
PHF4,PHF21B,22
PHF21B,PHF21B,22
BHC80L,PHF21B,22
FLJ34161,PHF21B,22
PHF23,PHF23,17
FLJ16355,PHF23,17
MGC2941,PHF23,17
PHF24,PHF24,9
KIAA1045,PHF24,9
GINIP,PHF24,9
DKFZP686A1627,PHF2P1,13
PHF2P1,PHF2P1,13
PHF2P2,PHF2P2,13
PHF3,PHF3,6
RDS3,PHF5A,22
SF3B14B,PHF5A,22
PHF5A,PHF5A,22
MGC1346,PHF5A,22
BK223H9.2,PHF5A,22
INI,PHF5A,22
SF3B7,PHF5A,22
SAP14B,PHF5A,22
PHF5CP,PHF5AP1,19
PHF5AP1,PHF5AP1,19
PHF5DP,PHF5AP2,3
PHF5AP2,PHF5AP2,3
PHF5EP,PHF5AP3,3
PHF5AP3,PHF5AP3,3
PHF5FP,PHF5AP4,X
PHF5AP4,PHF5AP4,X
PHF5AP5,PHF5AP5,2
PHF5GP,PHF5AP5,2
PHF5HP,PHF5AP6,15
PHF5AP6,PHF5AP6,15
PHF5AP7,PHF5AP7,3
BFLS,PHF6,X
CENP-31,PHF6,X
PHF6,PHF6,X
BORJ,PHF6,X
KIAA1823,PHF6,X
MGC14797,PHF6,X
NYD-SP6,PHF7,3
HSPC226,PHF7,3
PHF7,PHF7,3
KIAA1111,PHF8,X
JHDM1F,PHF8,X
PHF8,PHF8,X
KDM7B,PHF8,X
ZNF422,PHF8,X
PDG,PHGDH,1
SERA,PHGDH,1
PGDH,PHGDH,1
PHGDH,PHGDH,1
PHGR1,PHGR1,15
WDR11,PHIP,6
NDRP,PHIP,6
FLJ20705,PHIP,6
REPID,PHIP,6
DCAF14,PHIP,6
BRWD2,PHIP,6
PHIP,PHIP,6
PHKA1,PHKA1,X
PHKA,PHKA1,X
PHKA1-AS1,PHKA1-AS1,X
PHKA1P1,PHKA1P1,1
PHK,PHKA2,X
PYK,PHKA2,X
PHKA2,PHKA2,X
PHKA2-AS1,PHKA2-AS1,X
PHKB,PHKB,16
PHKBP1,PHKBP1,20
PHKBP2,PHKBP2,14
PHKG,PHKG1,7
PHKG1,PHKG1,7
PHKG1P1,PHKG1P1,7
PHKG1P2,PHKG1P2,7
PHKG1PS2,PHKG1P3,11
PHKGL,PHKG1P3,11
PHKG1P3,PHKG1P3,11
PHKG1P4,PHKG1P4,7
PHKG2,PHKG2,16
TDAG51,PHLDA1,12
DT1P1B11,PHLDA1,12
PHRIP,PHLDA1,12
PHLDA1,PHLDA1,12
RP11-290L1.3,PHLDA1-AS1,12
PHLDA1-AS1,PHLDA1-AS1,12
PHLDA1-DT,PHLDA1-DT,12
HLDA2,PHLDA2,11
IPL,PHLDA2,11
TSSC3,PHLDA2,11
BWR1C,PHLDA2,11
PHLDA2,PHLDA2,11
PHLDA3,PHLDA3,1
TIH1,PHLDA3,1
FLJ00141,PHLDB1,11
KIAA0638,PHLDB1,11
LL5A,PHLDB1,11
PHLDB1,PHLDB1,11
LL5BETA,PHLDB2,3
LL5B,PHLDB2,3
FLJ21791,PHLDB2,3
PHLDB2,PHLDB2,3
FLJ40193,PHLDB3,19
PHLDB3,PHLDB3,19
SCOP,PHLPP1,18
PPM3A,PHLPP1,18
PHLPP1,PHLPP1,18
KIAA0606,PHLPP1,18
PLEKHE1,PHLPP1,18
PHLPP,PHLPP1,18
PHLPP2,PHLPP2,16
PPM3B,PHLPP2,16
KIAA0931,PHLPP2,16
PHLPPL,PHLPP2,16
PHOSPHO1,PHOSPHO1,17
PHOSPHO2,PHOSPHO2,2
MGC22679,PHOSPHO2,2
PMX2A,PHOX2A,11
FEOM2,PHOX2A,11
PHOX2A,PHOX2A,11
ARIX,PHOX2A,11
CFEOM2,PHOX2A,11
PMX2B,PHOX2B,4
NBPHOX,PHOX2B,4
PHOX2B,PHOX2B,4
PHOX2B-AS1,PHOX2B-AS1,4
HSPC141,PHPT1,9
PHP14,PHPT1,9
PHPT1,PHPT1,9
DKFZP564M173,PHPT1,9
CGI-202,PHPT1,9
BA216L13.10,PHPT1,9
KIAA1542,PHRF1,11
RNF221,PHRF1,11
PPP1R125,PHRF1,11
PHRF1,PHRF1,11
PHTF,PHTF1,1
PHTF1,PHTF1,1
PHTF2,PHTF2,7
DKFZP434D166,PHTF2,7
PHYH1,PHYH,10
PHYH,PHYH,10
RD,PHYH,10
PAHX,PHYH,10
PHYHD1,PHYHD1,9
MGC16638,PHYHD1,9
DYRK1AP3,PHYHIP,8
PAHX-AP,PHYHIP,8
KIAA0273,PHYHIP,8
PHYHIP,PHYHIP,8
KIAA1796,PHYHIPL,10
EM:AC025038.1,PHYHIPL,10
PHYHIPL,PHYHIPL,10
PHYKPL,PHYKPL,5
AGXT2L2,PHYKPL,5
MGC15875,PHYKPL,5
PI15,PI15,8
P25TI,PI15,8
MGC45378,PI16,6
PI16,PI16,6
DJ90K10.5,PI16,6
CD364,PI16,6
MSMBBP,PI16,6
ELAFIN,PI3,20
ESI,PI3,20
WFDC14,PI3,20
CEMENTOIN,PI3,20
SKALP,PI3,20
PI3,PI3,20
WAP3,PI3,20
PI4K2A,PI4K2A,10
PI4KII,PI4K2A,10
PIK42A,PI4K2A,10
DKFZP761G1923,PI4K2A,10
PI4K2B,PI4K2B,4
FLJ11105,PI4K2B,4
PIK42B,PI4K2B,4
PI4KIIB,PI4K2B,4
PIK4CA,PI4KA,22
PI4K-ALPHA,PI4KA,22
PI4K230,PI4KA,22
PI4KA,PI4KA,22
PI4KAP1,PI4KAP1,22
PI4KAP2,PI4KAP2,22
PI4K92,PI4KB,1
PIK4CB,PI4KB,1
PI4K-BETA,PI4KB,1
PI4KB,PI4KB,1
C12orf53,PIANP,12
DKFZP547D2210,PIANP,12
PANP,PIANP,12
PIANP,PIANP,12
GU/RH-II,PIAS1,15
GBP,PIAS1,15
ZMIZ3,PIAS1,15
PIAS1,PIAS1,15
DDXBP1,PIAS1,15
ARIP3,PIAS2,18
PIAS2,PIAS2,18
PIASX-BETA,PIAS2,18
ZMIZ4,PIAS2,18
PIASX-ALPHA,PIAS2,18
MIZ,PIAS2,18
PIAS3,PIAS3,1
FLJ14651,PIAS3,1
ZMIZ5,PIAS3,1
ZMIZ6,PIAS4,19
PIASG,PIAS4,19
FLJ12419,PIAS4,19
PIASY,PIAS4,19
PIAS4,PIAS4,19
PIBF1,PIBF1,13
C13orf24,PIBF1,13
PIBF,PIBF1,13
CEP90,PIBF1,13
CLTH,PICALM,11
PICALM,PICALM,11
CALM,PICALM,11
PICART1,PICART1,17
PRKCABP,PICK1,22
PICK1,PICK1,22
MGC15204,PICK1,22
DJ1039K5,PICK1,22
PRED74,PICSAR,21
LNC-NLC1-C,PICSAR,21
PICSAR,PICSAR,21
NCRNA00162,PICSAR,21
LINC00162,PICSAR,21
NLC1-C,PICSAR,21
C21orf113,PICSAR,21
FLJ20701,PID1,2
PID1,PID1,2
NYGGF4,PID1,2
DKFZP434D229,PIDD1,11
PIDD,PIDD1,11
PIDD1,PIDD1,11
MGC16925,PIDD1,11
LRDD,PIDD1,11
RBEST47,PIERCE1,9
C9orf116,PIERCE1,9
PIERCE1,PIERCE1,9
MGC29761,PIERCE1,9
PIERCE2,PIERCE2,15
C15orf65,PIERCE2,15
FLJ27352,PIERCE2,15
KIAA0233,PIEZO1,16
PIEZO1,PIEZO1,16
FAM38A,PIEZO1,16
PIEZO1-AS1,PIEZO1-AS1,16
PIEZO1P1,PIEZO1P1,20
BA164D18.1,PIEZO1P1,20
FAM38CP,PIEZO1P1,20
C20orf83,PIEZO1P1,20
PIEZO1P2,PIEZO1P2,20
FAM38B2,PIEZO2,18
C18orf58,PIEZO2,18
FLJ34907,PIEZO2,18
PIEZO2,PIEZO2,18
C18orf30,PIEZO2,18
FLJ23144,PIEZO2,18
HST748,PIEZO2,18
HST771,PIEZO2,18
FAM38B,PIEZO2,18
FLJ23403,PIEZO2,18
FLJ22692,PIF1,15
C15orf20,PIF1,15
PIF1,PIF1,15
PIG-A,PIGA,X
PIGA,PIGA,X
GPI3,PIGA,X
PIGAP1,PIGAP1,12
GPI-MT-III,PIGB,15
PIG-B,PIGB,15
PIGB,PIGB,15
PIGBOS1,PIGBOS1,15
PIGC,PIGC,1
PIG-C,PIGC,1
GPI2,PIGC,1
PIGCP1,PIGCP1,11
PIGCP2,PIGCP2,7
PIGF,PIGF,2
PIG-F,PIGF,2
PIGFP1,PIGFP1,5
PIGFP2,PIGFP2,9
PIGFP3,PIGFP3,X
FLJ20265,PIGG,4
PIGG,PIGG,4
LAS21,PIGG,4
GPI7,PIGG,4
PIGH,PIGH,14
GPI-H,PIGH,14
PIGHP1,PIGHP1,15
HGPI8,PIGK,1
PIGK,PIGK,1
GPI8,PIGK,1
PIG-K,PIGK,1
PIGL,PIGL,17
PIG-L,PIGL,17
PIGM,PIGM,1
GPI-MT-I,PIGM,1
PIG-M,PIGM,1
PIG-N,PIGN,18
PIGN,PIGN,18
MCD4,PIGN,18
DKFZP434M222,PIGO,9
FLJ00135,PIGO,9
PIGO,PIGO,9
PIG-O,PIGO,9
PIGO-AS1,PIGO-AS1,9
PIGP,PIGP,21
DCRC,PIGP,21
DSRC,PIGP,21
DSCR5,PIGP,21
PIGPP1,PIGPP1,2
PIGPP2,PIGPP2,1
PIGPP3,PIGPP3,20
PIGPP4,PIGPP4,18
HGPI1,PIGQ,16
PIGQ,PIGQ,16
GPI1,PIGQ,16
PIGQP1,PIGQP1,1
PIGR,PIGR,1
PIG-S,PIGS,17
PIGS,PIGS,17
PIGT,PIGT,20
PIG-T,PIGT,20
GAB1,PIGU,20
PIG-U,PIGU,20
PIGU,PIGU,20
BA346K17.2,PIGU,20
CDC91L1,PIGU,20
PIGUP1,PIGUP1,9
GPI-MT-II,PIGV,1
PIGV,PIGV,1
PIG-V,PIGV,1
FLJ20477,PIGV,1
GWT1,PIGW,17
PIGW,PIGW,17
FLJ37433,PIGW,17
PIG-W,PIGW,17
PIG-X,PIGX,3
FLJ20522,PIGX,3
PIGX,PIGX,3
PIGY,PIGY,4
MGC14156,PIGY,4
PIG-Y,PIGY,4
PIGY-DT,PIGY-DT,4
MGC52163,PIGZ,3
GPI-MT-IV,PIGZ,3
SMP3,PIGZ,3
HSMP3,PIGZ,3
PIG-Z,PIGZ,3
PIGZ,PIGZ,3
FLJ12768,PIGZ,3
MOT48,PIH1D1,19
NOP17,PIH1D1,19
PIH1,PIH1D1,19
DNAAF14,PIH1D1,19
PIH1D1,PIH1D1,19
FLJ20643,PIH1D1,19
PIH1D2,PIH1D2,11
DNAAF15,PIH1D2,11
PIK3AP1,PIK3AP1,10
FLJ35564,PIK3AP1,10
BCAP,PIK3AP1,10
PIK3C2A,PIK3C2A,11
PI3K-C2ALPHA,PIK3C2A,11
PIK3C2B,PIK3C2B,1
C2-PI3K,PIK3C2B,1
PI3K-C2BETA,PIK3C2B,1
PIK3C2G,PIK3C2G,12
HVPS34,PIK3C3,18
PIK3C3,PIK3C3,18
VPS34,PIK3C3,18
PI3K,PIK3CA,3
PIK3CA,PIK3CA,3
PIK3CA-DT,PIK3CA-DT,3
PIK3C1,PIK3CB,3
PIK3CB,PIK3CB,3
PIK3CD,PIK3CD,1
P110D,PIK3CD,1
C1orf200,PIK3CD-AS1,1
PIK3CD-AS1,PIK3CD-AS1,1
PIK3CD-AS2,PIK3CD-AS2,1
PIK3CDP1,PIK3CDP1,2
PIK3CG,PIK3CG,7
TRIP,PIK3IP1,22
MGC17330,PIK3IP1,22
HGFL,PIK3IP1,22
PIK3IP1,PIK3IP1,22
PIK3IP1-AS1,PIK3IP1-DT,22
PIK3IP1-DT,PIK3IP1-DT,22
GRB1,PIK3R1,5
P85ALPHA,PIK3R1,5
P85-ALPHA,PIK3R1,5
PIK3R1,PIK3R1,5
P85,PIK3R1,5
P85-BETA,PIK3R2,19
P85,PIK3R2,19
P85B,PIK3R2,19
P85BETA,PIK3R2,19
PIK3R2,PIK3R2,19
PIK3R3,PIK3R3,1
P55,PIK3R3,1
PIK3R4,PIK3R4,3
VPS15,PIK3R4,3
P150,PIK3R4,3
P101-PI3K,PIK3R5,17
PIK3R5,PIK3R5,17
P101,PIK3R5,17
PIK3R5-DT,PIK3R5-DT,17
C17orf38,PIK3R6,17
FLJ34500,PIK3R6,17
HST41028,PIK3R6,17
P87PIKAP,PIK3R6,17
PIK3R6,PIK3R6,17
PIKFYVE,PIKFYVE,2
FAB1,PIKFYVE,2
KIAA0981,PIKFYVE,2
P235,PIKFYVE,2
ZFYVE29,PIKFYVE,2
MGC40423,PIKFYVE,2
PIP5K3,PIKFYVE,2
PIP5K,PIKFYVE,2
FDF03,PILRA,7
PILRA,PILRA,7
FDFACT2,PILRB,7
PILRB,PILRB,7
FDFACT1,PILRB,7
PIM,PIM1,6
PIM1,PIM1,6
PIM2,PIM2,X
PIM3,PIM3,22
CATS,PIMREG,17
FAM64A,PIMREG,17
FLJ10156,PIMREG,17
FLJ10491,PIMREG,17
RCS1,PIMREG,17
PIMREG,PIMREG,17
PIMREGP1,PIMREGP1,2
PIMREGP2,PIMREGP2,4
PIMREGP3,PIMREGP3,6
PIMREGP4,PIMREGP4,4
DOD,PIN1,19
PIN1,PIN1,19
PIN1-DT,PIN1-DT,19
PIN1L,PIN1P1,1
PIN1P1,PIN1P1,1
EPVH,PIN4,X
PIN4,PIN4,X
PAR14,PIN4,X
PAR17,PIN4,X
PIN4P1,PIN4P1,15
PINCR,PINCR,X
RP3-326I13.1,PINCR,X
BRPK,PINK1,1
PINK1,PINK1,1
PARK6,PINK1,1
PINK1AS,PINK1-AS,1
PINK1-AS1,PINK1-AS,1
NAPINK1,PINK1-AS,1
PINK1-AS,PINK1-AS,1
FLJ00387,PINK1-AS,1
PINLYP,PINLYP,19
MGC8850,PINX1,8
PINX1,PINX1,8
GNO1,PINX1,8
LPTL,PINX1,8
FLJ20565,PINX1,8
LPTS,PINX1,8
PXR1,PINX1,8
PINX1-DT,PINX1-DT,8
GCDFP15,PIP,7
BRST-2,PIP,7
GCDFP-15,PIP,7
GPIP4,PIP,7
SABP,PIP,7
PIP,PIP,7
PIP5K2A,PIP4K2A,10
PIP4K2A,PIP4K2A,10
PIP5KIIA,PIP4K2A,10
PIP5KIIALPHA,PIP4K2A,10
PIP5KIIB,PIP4K2B,17
PIP5K2B,PIP4K2B,17
PIP5KIIBETA,PIP4K2B,17
PIP4K2B,PIP4K2B,17
PIP5K2C,PIP4K2C,12
FLJ22055,PIP4K2C,12
PIP4K2C,PIP4K2C,12
MGC26684,PIP4P1,14
TMEM55B,PIP4P1,14
PIP4P1,PIP4P1,14
C14orf9,PIP4P1,14
DKFZP762O076,PIP4P2,8
TMEM55A,PIP4P2,8
PIP4P2,PIP4P2,8
PIP5K1A,PIP5K1A,1
PIP5K1B,PIP5K1B,9
STM7,PIP5K1B,9
MSS4,PIP5K1B,9
KIAA0589,PIP5K1C,19
PIP5K1C,PIP5K1C,19
PIP5KGAMMA,PIP5K1C,19
LCCS3,PIP5K1C,19
MGC26597,PIP5K1P1,6
PIP5K1P1,PIP5K1P1,6
PIP5K1P2,PIP5K1P2,7
PIPKH,PIP5KL1,9
MGC46424,PIP5KL1,9
BA203J24.5,PIP5KL1,9
PIP5KL1,PIP5KL1,9
PIPOX,PIPOX,17
LPIPOX,PIPOX,17
PIP5K1P3,PIPSL,10
PIP5K1L1,PIPSL,10
PIP5K1A-PSMD4,PIPSL,10
PIPSL,PIPSL,10
PSMD4P2,PIPSL,10
PIR,PIR,X
PIRAT,PIRAT1,2
NCRNA00211,PIRAT1,2
LINC00211,PIRAT1,2
PIRAT1,PIRAT1,2
PIRC1,PIRC1,1
PIRC10,PIRC10,2
PIRC100,PIRC100,19
PIRC101,PIRC101,19
PIRC102,PIRC102,19
PIRC103,PIRC103,20
PIRC104,PIRC104,20
PIRC105,PIRC105,21
PIRC106,PIRC106,22
PIRC107,PIRC107,22
PIRC108,PIRC108,22
PIRC109,PIRC109,22
PIRC11,PIRC11,3
PIRC110,PIRC110,22
PIRC111,PIRC111,22
PIRC112,PIRC112,22
PIRC113,PIRC113,X
PIRC114,PIRC114,X
PIRC12,PIRC12,3
PIRC13,PIRC13,3
PIRC14,PIRC14,3
PIRC15,PIRC15,3
PIRC16,PIRC16,4
PIRC17,PIRC17,4
PIRC18,PIRC18,4
PIRC19,PIRC19,4
PIRC2,PIRC2,1
PIRC20,PIRC20,5
PIRC21,PIRC21,5
PIRC22,PIRC22,5
PIRC23,PIRC23,5
PIRC24,PIRC24,6
PIRC25,PIRC25,6
PIRC26,PIRC26,6
PIRC27,PIRC27,6
PIRC28,PIRC28,6
PIRC29,PIRC29,7
PIRC3,PIRC3,1
PIRC30,PIRC30,7
PIRC31,PIRC31,7
PIRC32,PIRC32,7
PIRC33,PIRC33,7
PIRC34,PIRC34,7
PIRC35,PIRC35,8
PIRC36,PIRC36,9
PIRC37,PIRC37,9
PIRC38,PIRC38,9
PIRC39,PIRC39,9
PIRC4,PIRC4,1
PIRC40,PIRC40,9
PIRC41,PIRC41,9
PIRC42,PIRC42,9
PIRC43,PIRC43,9
PIRC44,PIRC44,9
PIRC45,PIRC45,9
PIRC46,PIRC46,9
PIRC47,PIRC47,9
PIRC48,PIRC48,10
PIRC49,PIRC49,10
PIRC5,PIRC5,1
PIRC50,PIRC50,11
PIRC51,PIRC51,11
PIRC52,PIRC52,11
PIRC53,PIRC53,12
PIRC54,PIRC54,12
PIRC55,PIRC55,12
PIRC56,PIRC56,12
PIRC57,PIRC57,12
PIRC58,PIRC58,13
PIRC59,PIRC59,14
PIRC6,PIRC6,1
PIRC60,PIRC60,14
PIRC61,PIRC61,15
PIRC62,PIRC62,15
PIRC63,PIRC63,15
PIRC64,PIRC64,15
PIRC65,PIRC65,15
PIRC66,PIRC66,15
PIRC67,PIRC67,15
PIRC68,PIRC68,15
PIRC69,PIRC69,15
PIRC7,PIRC7,1
PIRC70,PIRC70,15
PIRC71,PIRC71,15
PIRC72,PIRC72,15
PIRC73,PIRC73,15
PIRC74,PIRC74,15
PIRC75,PIRC75,15
PIRC76,PIRC76,15
PIRC77,PIRC77,15
PIRC78,PIRC78,15
PIRC79,PIRC79,15
PIRC8,PIRC8,1
PIRC80,PIRC80,15
PIRC81,PIRC81,15
PIRC82,PIRC82,16
PIRC83,PIRC83,16
PIRC84,PIRC84,16
PIRC85,PIRC85,16
PIRC86,PIRC86,16
PIRC87,PIRC87,16
PIRC88,PIRC88,16
PIRC89,PIRC89,16
PIRC9,PIRC9,2
PIRC90,PIRC90,17
PIRC91,PIRC91,17
PIRC92,PIRC92,17
PIRC93,PIRC93,17
PIRC94,PIRC94,17
PIRC95,PIRC95,17
PIRC96,PIRC96,18
PIRC97,PIRC97,19
PIRC98,PIRC98,19
PIRC99,PIRC99,19
PIRT,PIRT,17
DJ858B16.2,PISD,22
PSDC,PISD,22
PISD,PISD,22
PISRT1,PISRT1,3
NCRNA00195,PISRT1,3
PITHD1,PITHD1,1
HT014,PITHD1,1
TXNL1CL,PITHD1,1
C1orf128,PITHD1,1
PITPNA,PITPNA,17
PITPN,PITPNA,17
VIB1A,PITPNA,17
PITPNA-AS1,PITPNA-AS1,17
VIB1B,PITPNB,22
PITPNB,PITPNB,22
RDGB-BETA,PITPNC1,17
RDGBB,PITPNC1,17
PITPNC1,PITPNC1,17
RDGBB1,PITPNC1,17
NIR2,PITPNM1,11
RDGB1,PITPNM1,11
RD9,PITPNM1,11
RDGBA1,PITPNM1,11
DRES9,PITPNM1,11
PITPNM1,PITPNM1,11
RDGB,PITPNM1,11
PITPNM,PITPNM1,11
RDGBA2,PITPNM2,12
RDGB2,PITPNM2,12
PITPNM2,PITPNM2,12
NIR3,PITPNM2,12
PITPNM2-AS1,PITPNM2-AS1,12
RDGBA3,PITPNM3,17
ACKR6,PITPNM3,17
NIR1,PITPNM3,17
CORD5,PITPNM3,17
PITPNM3,PITPNM3,17
KIAA1104,PITRM1,10
PITRM1,PITRM1,10
HMP1,PITRM1,10
MP1,PITRM1,10
PREP,PITRM1,10
PITRM1-AS1,PITRM1-AS1,10
PTX1,PITX1,5
POTX,PITX1,5
PITX1,PITX1,5
BFT,PITX1,5
PITX1-AS1,PITX1-AS1,5
C5orf66,PITX1-AS1,5
BRX1,PITX2,4
IHG2,PITX2,4
RGS,PITX2,4
RS,PITX2,4
PITX2,PITX2,4
RIEG,PITX2,4
RIEG1,PITX2,4
ARP1,PITX2,4
OTLX2,PITX2,4
IGDS,PITX2,4
IRID2,PITX2,4
PITX3,PITX3,10
ASMD,PITX3,10
PIWI,PIWIL1,12
CT80.1,PIWIL1,12
HIWI,PIWIL1,12
PIWIL1,PIWIL1,12
HILI,PIWIL2,8
FLJ10351,PIWIL2,8
CT80,PIWIL2,8
PIWIL2,PIWIL2,8
MILI,PIWIL2,8
PIWIL2-DT,PIWIL2-DT,8
HIWI3,PIWIL3,22
PIWIL3,PIWIL3,22
MIWI2,PIWIL4,11
PIWIL4,PIWIL4,11
FLJ36156,PIWIL4,11
HIWI2,PIWIL4,11
PIWIL4-AS1,PIWIL4-AS1,11
FLJ11830,PJA1,X
PJA1,PJA1,X
RNF70,PJA1,X
PRAJA1,PJA1,X
RNF131,PJA2,5
NEURODAP1,PJA2,5
PJA2,PJA2,5
KIAA0438,PJA2,5
PRAJA2,PJA2,5
DFNB59,PJVK,2
PJVK,PJVK,2
